"","UWI","SURFX","SURFY","DATE","INJ","cum_inj","tol_inj","CUMU_INJ"
"115","42121329540000",2073356.964,541393.3458,2017-04-01,187989,38914463,40070952,7558837
"116","42121329540000",2073356.964,541393.3458,2017-05-01,215822,39130285,40070952,7868617
"117","42121329540000",2073356.964,541393.3458,2017-06-01,229731,39360016,40070952,7593200
"118","42121329540000",2073356.964,541393.3458,2017-07-01,225545,39585561,40070952,8034023
"119","42121329540000",2073356.964,541393.3458,2017-08-01,255264,39840825,40070952,8259439
"120","42121329540000",2073356.964,541393.3458,2017-09-01,230127,40070952,40070952,7833970
"121","42221309830000",1950025.981,244444.3147,2005-02-01,66983,66983,30468061,66983
"122","42221309830000",1950025.981,244444.3147,2005-03-01,160323,227306,30468061,418563
"123","42221309830000",1950025.981,244444.3147,2005-04-01,163587,390893,30468061,435127
"124","42221309830000",1950025.981,244444.3147,2005-05-01,131657,522550,30468061,464117
"125","42221309830000",1950025.981,244444.3147,2005-06-01,115936,638486,30468061,639936
"126","42221309830000",1950025.981,244444.3147,2005-07-01,133619,772105,30468061,822800
"127","42221309830000",1950025.981,244444.3147,2005-08-01,163850,935955,30468061,897133
"128","42221309830000",1950025.981,244444.3147,2005-09-01,169089,1105044,30468061,960193
"129","42221309830000",1950025.981,244444.3147,2005-10-01,221867,1326911,30468061,1037267
"130","42221309830000",1950025.981,244444.3147,2005-11-01,251843,1578754,30468061,1075049
"131","42221309830000",1950025.981,244444.3147,2005-12-01,292279,1871033,30468061,1200947
"132","42221309830000",1950025.981,244444.3147,2006-01-01,222484,2093517,30468061,1350182
"133","42221309830000",1950025.981,244444.3147,2006-02-01,243338,2336855,30468061,1472478
"134","42221309830000",1950025.981,244444.3147,2006-03-01,296457,2633312,30468061,1848901
"135","42221309830000",1950025.981,244444.3147,2006-04-01,321233,2954545,30468061,1923527
"136","42221309830000",1950025.981,244444.3147,2006-05-01,300567,3255112,30468061,2207406
"137","42221309830000",1950025.981,244444.3147,2006-06-01,265681,3520793,30468061,1973653
"138","42221309830000",1950025.981,244444.3147,2006-07-01,288136,3808929,30468061,2021893
"139","42221309830000",1950025.981,244444.3147,2006-08-01,246858,4055787,30468061,2512715
"140","42221309830000",1950025.981,244444.3147,2006-09-01,119093,4174880,30468061,2773616
"141","42221309830000",1950025.981,244444.3147,2006-10-01,226154,4401034,30468061,3124548
"142","42221309830000",1950025.981,244444.3147,2006-11-01,67866,4468900,30468061,3240926
"143","42221309830000",1950025.981,244444.3147,2006-12-01,134691,4603591,30468061,4484941
"144","42221309830000",1950025.981,244444.3147,2007-01-01,189650,4793241,30468061,4380773
"145","42221309830000",1950025.981,244444.3147,2007-02-01,129943,4923184,30468061,4175393
"146","42221309830000",1950025.981,244444.3147,2007-03-01,46218,4969402,30468061,4620840
"147","42221309830000",1950025.981,244444.3147,2007-04-01,113275,5082677,30468061,4876542
"148","42221309830000",1950025.981,244444.3147,2007-05-01,167885,5250562,30468061,5347071
"149","42221309830000",1950025.981,244444.3147,2007-07-01,2760,5253322,30468061,5639953
"150","42221309830000",1950025.981,244444.3147,2007-08-01,65382,5318704,30468061,5967755
"151","42221309830000",1950025.981,244444.3147,2007-09-01,17879,5336583,30468061,5629384
"152","42221309830000",1950025.981,244444.3147,2007-10-01,44339,5380922,30468061,6483309
"153","42221309830000",1950025.981,244444.3147,2007-11-01,84247,5465169,30468061,6157035
"154","42221309830000",1950025.981,244444.3147,2007-12-01,59790,5524959,30468061,5777613
"155","42221309830000",1950025.981,244444.3147,2008-01-01,155978,5680937,30468061,6452815
"156","42221309830000",1950025.981,244444.3147,2008-02-01,146279,5827216,30468061,7775520
"157","42221309830000",1950025.981,244444.3147,2008-03-01,59781,5886997,30468061,9152519
"158","42221309830000",1950025.981,244444.3147,2008-04-01,137776,6024773,30468061,8881211
"159","42221309830000",1950025.981,244444.3147,2008-05-01,120830,6145603,30468061,9790992
"160","42221309830000",1950025.981,244444.3147,2008-07-01,117123,6262726,30468061,9342850
"161","42221309830000",1950025.981,244444.3147,2008-08-01,317235,6579961,30468061,9977335
"162","42221309830000",1950025.981,244444.3147,2008-09-01,235802,6815763,30468061,9513587
"163","42221309830000",1950025.981,244444.3147,2008-10-01,111076,6926839,30468061,9729575
"164","42221309830000",1950025.981,244444.3147,2008-11-01,190995,7117834,30468061,10178583
"165","42221309830000",1950025.981,244444.3147,2008-12-01,246647,7364481,30468061,9857864
"166","42221309830000",1950025.981,244444.3147,2009-01-01,268243,7632724,30468061,9714975
"167","42221309830000",1950025.981,244444.3147,2009-02-01,327092,7959816,30468061,9563848
"168","42221309830000",1950025.981,244444.3147,2009-03-01,357402,8317218,30468061,10011008
"169","42221309830000",1950025.981,244444.3147,2009-04-01,345881,8663099,30468061,8817835
"170","42221309830000",1950025.981,244444.3147,2009-05-01,369628,9032727,30468061,9222275
"171","42221309830000",1950025.981,244444.3147,2009-06-01,389345,9422072,30468061,8823798
"172","42221309830000",1950025.981,244444.3147,2009-07-01,425170,9847242,30468061,9681047
"173","42221309830000",1950025.981,244444.3147,2009-08-01,413136,10260378,30468061,10148823
"174","42221309830000",1950025.981,244444.3147,2009-09-01,318906,10579284,30468061,9880092
"175","42221309830000",1950025.981,244444.3147,2009-10-01,313017,10892301,30468061,10866851
"176","42221309830000",1950025.981,244444.3147,2009-11-01,82070,10974371,30468061,10107974
"177","42221309830000",1950025.981,244444.3147,2009-12-01,249678,11224049,30468061,10176315
"178","42221309830000",1950025.981,244444.3147,2010-01-01,325272,11549321,30468061,10900701
"179","42221309830000",1950025.981,244444.3147,2010-02-01,332845,11882166,30468061,10320596
"180","42221309830000",1950025.981,244444.3147,2010-03-01,412281,12294447,30468061,12054256
"181","42221309830000",1950025.981,244444.3147,2010-04-01,352097,12646544,30468061,11657482
"182","42221309830000",1950025.981,244444.3147,2010-05-01,389074,13035618,30468061,12361540
"183","42221309830000",1950025.981,244444.3147,2010-06-01,387989,13423607,30468061,11806317
"184","42221309830000",1950025.981,244444.3147,2010-07-01,423374,13846981,30468061,13014429
"185","42221309830000",1950025.981,244444.3147,2010-08-01,432322,14279303,30468061,12894731
"186","42221309830000",1950025.981,244444.3147,2010-09-01,404415,14683718,30468061,13014299
"187","42221309830000",1950025.981,244444.3147,2010-10-01,463780,15147498,30468061,11689154
"188","42221309830000",1950025.981,244444.3147,2010-11-01,358229,15505727,30468061,11954124
"189","42221309830000",1950025.981,244444.3147,2010-12-01,293960,15799687,30468061,12386935
"190","42221309830000",1950025.981,244444.3147,2011-01-01,310943,16110630,30468061,12491622
"191","42221309830000",1950025.981,244444.3147,2011-02-01,317133,16427763,30468061,10744516
"192","42221309830000",1950025.981,244444.3147,2011-03-01,460527,16888290,30468061,13585658
"193","42221309830000",1950025.981,244444.3147,2011-04-01,435373,17323663,30468061,13823700
"194","42221309830000",1950025.981,244444.3147,2011-05-01,397185,17720848,30468061,14893483
"195","42221309830000",1950025.981,244444.3147,2011-06-01,240765,17961613,30468061,13536023
"196","42221309830000",1950025.981,244444.3147,2011-07-01,355529,18317142,30468061,14060435
"197","42221309830000",1950025.981,244444.3147,2011-08-01,326823,18643965,30468061,13865713
"198","42221309830000",1950025.981,244444.3147,2011-09-01,353087,18997052,30468061,13575950
"199","42221309830000",1950025.981,244444.3147,2011-10-01,258508,19255560,30468061,14224672
"200","42221309830000",1950025.981,244444.3147,2011-11-01,239137,19494697,30468061,14289379
"201","42221309830000",1950025.981,244444.3147,2011-12-01,278595,19773292,30468061,14301497
"202","42221309830000",1950025.981,244444.3147,2012-01-01,219736,19993028,30468061,14393197
"203","42221309830000",1950025.981,244444.3147,2012-02-01,181229,20174257,30468061,13261820
"204","42221309830000",1950025.981,244444.3147,2012-03-01,199659,20373916,30468061,14719295
"205","42221309830000",1950025.981,244444.3147,2012-04-01,187139,20561055,30468061,13422939
"206","42221309830000",1950025.981,244444.3147,2012-05-01,182093,20743148,30468061,13619470
"207","42221309830000",1950025.981,244444.3147,2012-06-01,171880,20915028,30468061,12965656
"208","42221309830000",1950025.981,244444.3147,2012-07-01,188677,21103705,30468061,13735215
"209","42221309830000",1950025.981,244444.3147,2012-08-01,189015,21292720,30468061,13116786
"210","42221309830000",1950025.981,244444.3147,2012-09-01,231782,21524502,30468061,12508392
"211","42221309830000",1950025.981,244444.3147,2012-10-01,189722,21714224,30468061,12829987
"212","42221309830000",1950025.981,244444.3147,2012-11-01,166921,21881145,30468061,11811242
"213","42221309830000",1950025.981,244444.3147,2012-12-01,153238,22034383,30468061,12077125
"214","42221309830000",1950025.981,244444.3147,2013-01-01,137357,22171740,30468061,12754328
"215","42221309830000",1950025.981,244444.3147,2013-02-01,123419,22295159,30468061,11309584
"216","42221309830000",1950025.981,244444.3147,2013-03-01,132216,22427375,30468061,12445227
"217","42221309830000",1950025.981,244444.3147,2013-04-01,136818,22564193,30468061,11899338
"218","42221309830000",1950025.981,244444.3147,2013-05-01,142673,22706866,30468061,11963242
"219","42221309830000",1950025.981,244444.3147,2013-06-01,108477,22815343,30468061,11514151
"220","42221309830000",1950025.981,244444.3147,2013-07-01,101538,22916881,30468061,12334827
"221","42221309830000",1950025.981,244444.3147,2013-08-01,105540,23022421,30468061,12036527
"222","42221309830000",1950025.981,244444.3147,2013-09-01,111292,23133713,30468061,11831621
"223","42221309830000",1950025.981,244444.3147,2013-10-01,116944,23250657,30468061,11912081
"224","42221309830000",1950025.981,244444.3147,2013-11-01,184317,23434974,30468061,11402351
"225","42221309830000",1950025.981,244444.3147,2013-12-01,228042,23663016,30468061,10800800
"226","42221309830000",1950025.981,244444.3147,2014-01-01,312289,23975305,30468061,11386084
"227","42221309830000",1950025.981,244444.3147,2014-02-01,270644,24245949,30468061,9936683
"228","42221309830000",1950025.981,244444.3147,2014-03-01,299163,24545112,30468061,12046987
"229","42221309830000",1950025.981,244444.3147,2014-04-01,199994,24745106,30468061,11738869
"230","42221309830000",1950025.981,244444.3147,2014-05-01,210476,24955582,30468061,12165041
"231","42221309830000",1950025.981,244444.3147,2014-06-01,206598,25162180,30468061,11720072
"232","42221309830000",1950025.981,244444.3147,2014-07-01,209930,25372110,30468061,11632955
"233","42221309830000",1950025.981,244444.3147,2014-08-01,210645,25582755,30468061,11280396
"234","42221309830000",1950025.981,244444.3147,2014-09-01,191848,25774603,30468061,10707843
"235","42221309830000",1950025.981,244444.3147,2014-10-01,177686,25952289,30468061,11154961
"236","42221309830000",1950025.981,244444.3147,2014-11-01,175251,26127540,30468061,11006198
"237","42221309830000",1950025.981,244444.3147,2014-12-01,171803,26299343,30468061,11175048
"238","42221309830000",1950025.981,244444.3147,2015-01-01,151292,26450635,30468061,11188192
"239","42221309830000",1950025.981,244444.3147,2015-02-01,129629,26580264,30468061,9285348
"240","42221309830000",1950025.981,244444.3147,2015-03-01,299163,26879427,30468061,11132951
"241","42221309830000",1950025.981,244444.3147,2015-04-01,74994,26954421,30468061,10228970
"242","42221309830000",1950025.981,244444.3147,2015-05-01,81278,27035699,30468061,10731832
"243","42221309830000",1950025.981,244444.3147,2015-06-01,71065,27106764,30468061,10019178
"244","42221309830000",1950025.981,244444.3147,2015-07-01,61853,27168617,30468061,9556838
"245","42221309830000",1950025.981,244444.3147,2015-08-01,66955,27235572,30468061,9046352
"246","42221309830000",1950025.981,244444.3147,2015-09-01,64654,27300226,30468061,8436833
"247","42221309830000",1950025.981,244444.3147,2015-10-01,66692,27366918,30468061,8702949
"248","42221309830000",1950025.981,244444.3147,2015-11-01,68373,27435291,30468061,8702391
"249","42221309830000",1950025.981,244444.3147,2015-12-01,50636,27485927,30468061,8797617
"250","42221309830000",1950025.981,244444.3147,2016-01-01,52819,27538746,30468061,8785697
"251","42221309830000",1950025.981,244444.3147,2016-02-01,52007,27590753,30468061,8098391
"252","42221309830000",1950025.981,244444.3147,2016-03-01,52397,27643150,30468061,8313445
"253","42221309830000",1950025.981,244444.3147,2016-04-01,57339,27700489,30468061,8067410
"254","42221309830000",1950025.981,244444.3147,2016-05-01,137000,27837489,30468061,8687363
"255","42221309830000",1950025.981,244444.3147,2016-06-01,248093,28085582,30468061,8474598
"256","42221309830000",1950025.981,244444.3147,2016-07-01,301114,28386696,30468061,8474294
"257","42221309830000",1950025.981,244444.3147,2016-08-01,185138,28571834,30468061,8424724
"258","42221309830000",1950025.981,244444.3147,2016-09-01,185242,28757076,30468061,7958587
"259","42221309830000",1950025.981,244444.3147,2016-10-01,163809,28920885,30468061,7328643
"260","42221309830000",1950025.981,244444.3147,2016-11-01,186009,29106894,30468061,7108192
"261","42221309830000",1950025.981,244444.3147,2016-12-01,202265,29309159,30468061,7206177
"262","42221309830000",1950025.981,244444.3147,2017-01-01,187407,29496566,30468061,8191419
"263","42221309830000",1950025.981,244444.3147,2017-02-01,148251,29644817,30468061,7284679
"264","42221309830000",1950025.981,244444.3147,2017-03-01,195152,29839969,30468061,7793859
"265","42221309830000",1950025.981,244444.3147,2017-04-01,163448,30003417,30468061,7558837
"266","42221309830000",1950025.981,244444.3147,2017-05-01,1827,30005244,30468061,7868617
"267","42221309830000",1950025.981,244444.3147,2017-07-01,102961,30108205,30468061,8034023
"268","42221309830000",1950025.981,244444.3147,2017-08-01,191300,30299505,30468061,8259439
"269","42221309830000",1950025.981,244444.3147,2017-09-01,168556,30468061,30468061,7833970
"270","42221311090000",1889924.386,237269.3924,2007-02-01,8320,8320,25341123,4175393
"271","42221311090000",1889924.386,237269.3924,2007-03-01,36530,44850,25341123,4620840
"272","42221311090000",1889924.386,237269.3924,2007-04-01,40170,85020,25341123,4876542
"273","42221311090000",1889924.386,237269.3924,2007-05-01,65910,150930,25341123,5347071
